Food,food_type,consumption_type
Yellow Rice,main,meal
Fried Halmesso,protein,meal
Fried Karawala,protein,meal
Kola Mallum,vegetable,meal
Kiri Hodi (Fish),protein,meal
Soya meat curry,protein,meal
Boiled Potatoes,main,meal
Chicken Curry,protein,meal
Chicken Gravy,side,meal
Egg Yolk,protein,meal
Mango Chutney,side,meal
Boiled Jackfruit Seed,protein,meal
Boiled Chickpeas,protein,meal
Boiled Mung,protein,meal
Boiled Sweet Potato,main,meal
Cucumber Flesh,snack,snack
Roast Peanut,snack,snack
Roast Green Pea,snack,snack
Roasted Gram,snack,snack
Orange,snack,snack
Guava,snack,snack
Ambun Kesel,snack,snack
Ambul Kesel,snack,snack
Cavendish Banana,snack,snack
Dried Grapes,snack,snack
Jackfruit,snack,snack
Avocado,snack,snack
Watermelon Juice,drink,beverage
Helapa,dessert,dessert
Wandu,dessert,dessert
Aggala,dessert,dessert
Lavariya,dessert,dessert
Yogurt,protein,meal
Oats,main,meal
Fried Tilapia,protein,meal
Salmon,protein,meal
Tuna,protein,meal
Greek Yogurt,protein,meal
Whole Milk,drink,beverage
Skim Milk,drink,beverage
Apple,snack,snack
Almonds,snack,snack
Walnuts,snack,snack
Kiribath (Milk Rice),main,meal
String Hoppers (Idiyappam),main,meal
Hoppers (Appa),main,meal
Egg Hopper (Biththara Appa),protein,meal
Pol Roti,main,meal
Pittu (Coconut),main,meal
Kola Kenda (Herbal Porridge),drink,beverage
Dhal Curry (Parippu),protein,meal
Lunu Miris,side,meal
Pol Sambol,side,meal
Kiri Hodi (Tomato),vegetable,meal
Seeni Sambol,side,meal
Ceylon Tea,drink,beverage
Ginger Tea,drink,beverage
King Coconut Water,drink,beverage
Red Rice,main,meal
White Rice,main,meal
Fried Rice (Chicken),protein,meal
Fried Rice (Vegetable),main,meal
Fish Curry (Tuna),protein,meal
Ambul Thiyal (Sour Fish),protein,meal
Black Pork Curry,protein,meal
Prawn Curry,protein,meal
Egg Curry,protein,meal
Potato Curry,main,meal
Brinjal Moju,vegetable,meal
Pumpkin Curry,vegetable,meal
Jackfruit Curry (Polos),vegetable,meal
Young Jackfruit Curry (Kos),vegetable,meal
Cuttlefish Curry,protein,meal
Beef Curry,protein,meal
Gotukola Sambol,vegetable,meal
Kankun Mallung,vegetable,meal
Mukunuwenna Mallum,vegetable,meal
Beetroot Curry,vegetable,meal
Okra (Bandakka) Curry,vegetable,meal
Fried Beans Sambol,protein,meal
Carrot Curry,vegetable,meal
Cucumber Salad,vegetable,meal
Papadam,side,meal
Mixed Greens Mallum,vegetable,meal
Parippu Wade,snack,snack
Isso Wade,snack,snack
Manioc Chips,snack,snack
Boiled Manioc (Cassava),main,meal
Roasted Peanuts,snack,snack
Curd (Buffalo) + Treacle,dessert,dessert
Vegetable Soup,vegetable,meal
Beet Root Salad,vegetable,meal
Carrot Salad,vegetable,meal
Lotus Root Curry,vegetable,meal
Leeks Sambola,vegetable,meal
Mushroom Curry,vegetable,meal
Anguna Kola Mallum,vegetable,meal
Kathurumurunga Mallum,vegetable,meal
Cassava Leaves,vegetable,meal
Whole Wheat Toast,main,meal
