Food,energy,carbs,fiber,sugars,sodium,fat,protein,y_vegetarian,y_diabetic,y_low_sodium
Beer,43.0,3.55,0.0,0.0,0.0,0.46,0.0,1,1,1
Arak,222.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
Kasippu,222.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"LIQUOR, TODDY, COCONUT",222.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"LIQUOR, TODDY, KITUL",222.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"LIQUOR, TODDY, PALMYRA",222.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"LIQUOR, HARD (>35% ABV), NON-SPECIFIC",222.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
"Coconut water(botteled, sweetend)",31.4,7.43,0.0,0.0,0.0,0.28,0.0,1,0,1
"Coconut water(fresh, unsweetend)",14.0,3.2,0.0,0.0,0.0,0.2,0.3,1,0,1
Fruit and Milk Drink,72.0,11.7,0.0,0.0,0.0,1.5,3.6,1,1,1
Fruit Cordial (with water),18.090851,4.0250001,0.51749998,0.0,0.0,0.1,0.16,1,1,1
"Fruit Drink (botteled,ready-to-drink)",40.0,10.3,0.0,0.0,0.0,0.0,0.4,1,1,1
"Fruit Nectar (botteled,ready-to-drink)",40.0,10.3,0.0,0.0,0.0,0.0,0.4,1,1,1
Fruit Squah (with water),37.0,9.8,0.0,0.0,0.0,0.0,0.1,1,1,1
Juice (sweetend),40.0,10.3,0.0,0.0,0.0,0.0,0.4,1,0,1
Lime Juice,3.272548,0.70200467,0.15954022,0.0,0.0,0.021604404,0.054841947,1,1,1
Passion Fruit Juice,44.0,10.7,0.0,0.0,0.0,0.1,0.8,1,1,1
"Lemon or Lime Juice (fresh, water & sugar)",4.2696743,0.89893711,0.0,0.0,0.0,0.063151337,0.03074473,1,1,1
"Lemon or Lime Juice (fresh, water,no sugar)",35.0,7.0,0.0,0.0,0.0,0.8,0.4,1,1,1
"Lime Juice (fresh,raw (100% Juice))",9.0,1.6,0.0,0.0,0.0,0.1,0.4,1,1,1
Apple Juice (unsweetened (100% Juice)),40.0,10.3,0.0,0.0,0.0,0.0,0.4,1,0,1
Mango Juice (unsweetened (100% Juice)),39.0,9.8,0.0,0.0,0.0,0.2,0.1,1,0,1
Orange Juice (unsweetened (100% Juice)),36.0,8.8,0.1,0.0,0.0,0.1,0.5,1,0,1
"KENDA, FINGER MILLET",181.94475,11.381498,1.4856118,0.0,0.0,13.867081,2.5487068,1,1,1
"KENDA, LEAFY VEGETABLE & RICE",52.0,11.6,0.8,0.0,0.0,0.3,1.4,1,1,1
Cola,41.0,10.9,0.0,0.0,0.0,0.0,0.0,1,0,1
Cream Soda,50.0,13.3,0.0,0.0,0.0,0.0,0.0,1,0,1
Energy Drink,27.0,7.2,0.0,0.0,0.0,0.0,0.0,1,1,1
Fruit-Flavored Soda,27.0,7.2,0.0,0.0,0.0,0.0,0.0,1,0,1
Ginger Beer,27.0,7.2,0.0,0.0,0.0,0.0,0.0,1,1,1
Lemon-Lime Soda,27.0,7.2,0.0,0.0,0.0,0.0,0.0,1,0,1
Orange Soda,48.0,12.3,0.0,0.0,0.0,0.0,0.0,1,0,1
Coffee (brewed),2.0,0.3,0.0,0.0,0.0,0.0,0.2,1,1,1
"Coffee, (made from instant coffee powder)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
"Cooling Drink (chinese,infusion)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
Tea (brewed from black tea leaves),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
Tea (made from instant black tea powder),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Tea (brewed from herbs & spices),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
Tea (brewed from green tea),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
