Food,category,meal_type,food_type,diet_type,energy,protein,carbs,fat,fiber,sugars,sodium,is_leafy_green,is_alcohol,quantity,image
Yellow Rice,Grain,Lunch,main,veg,469,16.9,0,18.8,1,0.5,5,0,0,1 cup,/static/foods/YellowRice.webp
Fried Halmesso,Fish,Lunch,protein,non_veg,75,7.5,0,4.5,0,0,70,0,0,1 cup,/static/foods/Fried Halmesso.jpg
Fried Karawala,Fish,Lunch,protein,non_veg,85,9,0,5,0,0,70,0,0,1 cup,/static/foods/Fried Karawala.jpg
Kola Mallum,Vegetable,Lunch,side,veg,80,1,0,5,2,2,200,0,0,1 cup,/static/foods/Kola Mallum.jpg
Kiri Hodi (Fish),Meal,Dinner,protein,non_veg,280,22,8,18,2,3,520,0,0,1 cup,/static/foods/Kiri Hodi (Fish).jpg
Soya meat curry ,Meal,Lunch,side,veg,134,5.5,13,6.2,4.7,4.3,340,0,0,1 cup,/static/foods/Soya meat curry.avif
Boiled Potatoes,Roots,Dinner,side,veg,100,1,0,0.1,0,0,0,0,0,1 cup,/static/foods/Boiled Potatoes.jpg
Chicken Curry,Protein/Meat,Lunch,protein,non_veg,100,27,0,8,2,2,200,0,0,1 cup,/static/foods/Chicken Curry.jpg
Chicken Gravy,Protein/Meat,Lunch,protein,non_veg,100,3.5,0,1.5,0,0,70,0,0,1 cup,/static/foods/Chicken Gravy.jpg
Egg Yolk,Diary,Lunch,protein,egg,100,2.5,0,4.2,0,0,70,0,0,1,/static/foods/Egg Yolk.jpg
Mango Chutney,Meal,Lunch,side,veg,100,0.5,0,0,2.5,10,5,0,0,1 cup,/static/foods/Mango Chutney.jpg
Boiled Jackfruit Seed,Seed,Lunch,side,veg,100,0.6,0,0.1,2.5,10,5,0,0,1 cup,/static/foods/Boiled Jackfruit Seed.jpg
Boiled Chickpeas,Grain,Breakfast,main,veg,100,9,0,2.6,6,3,10,0,0,1 cup,/static/foods/Boiled Chickpeas.jpg
Boiled Mung,Grain,Breakfast,main,veg,100,7,0,0.4,6,3,10,0,0,1 cup,/static/foods/Boiled Mung.jpg
Boiled Sweet Potato,Roots,Breakfast,main,veg,100,1.6,0,0.1,0,0,0,0,0,1 cup,/static/foods/Boiled Sweet Potato.jpg
Cucumber Flesh,Vegetable,Lunch,side,veg,100,0.3,0,0.05,2.5,10,5,0,0,1 cup,/static/foods/Cucumber Flesh.jpg
Roast Peanut,Grain,Lunch,side,veg,300,13,0,26,6,3,10,0,0,1 cup,/static/foods/Roast Peanut.jpg
Roast Green Pea,Grain,Lunch,side,veg,190,14,0,4.5,6,3,10,0,0,1 cup,/static/foods/Roast Green Pea.jpg
Roasted Gram,Grain,Lunch,side,veg,200,12,0,2,6,3,10,0,0,1 cup,/static/foods/Roasted Gram.jpg
Orange,Fruit,Breakfast,side,veg,62,1.2,0,0.2,1,3,50,0,0,1,/static/foods/Orange.webp
Guava,Fruit,Lunch,side,veg,37,1,0,0.2,1,3,50,0,0,1,/static/foods/Guava.webp
Ambun Kesel,Fruit,Breakfast,side,veg,90,1.3,0,0.3,1.5,8,250,0,0,1,/static/foods/Ambun Kesel.webp
Ambul Kesel,Fruit,Lunch,side,veg,45,0.5,0,0.1,1,3,50,0,0,1,/static/foods/Ambul Kesel.webp
Cavendish Banana,Fruit,Dinner,side,veg,134,1.7,0,0.5,1,3,50,0,0,1,/static/foods/Cavendish Banana.webp
Dried Grapes,Fruit,Breakfast,side,veg,299,3.1,0,0.5,1,3,50,0,0,1 cup,/static/foods/Dried Grapes.jpg
Jackfruit,Fruit,Lunch,side,veg,33,0.6,0,0.2,2.5,10,5,0,0,1 cup,/static/foods/Jackfruit.jpg
Avocado,Fruit,Breakfast,side,veg,80,1,0,7.4,1,3,50,0,0,1,/static/foods/Avocadp.jpg
Watermelon Juice,Beverage,Dinner,drink,veg,30,0.6,0,0.2,1,3,50,0,0,1 Glass,/static/foods/Watermelon Juice.jpg
Watermelon Juice,Beverage,Breakfast,drink,veg,30,0.6,0,0.2,1,3,50,0,0,1 Glass,/static/foods/Watermelon Juice.jpg
Helapa,Snack,Dinner,main,veg,440,11,0,17,1,3,50,0,0,2 Slices,/static/foods/Helapa.jpg
Helapa,Snack,Breakfast,side,veg,440,11,0,17,1,3,50,0,0,2 Slices,/static/foods/Helapa.jpg
Wandu,Snack,Dinner,side,veg,205,2,0,1,6,3,10,0,0,2 Pieces,/static/foods/Wandu.jpg
Wandu,Snack,Breakfast,side,veg,205,2,0,1,6,3,10,0,0,2 Pieces,/static/foods/Wandu.jpg
Aggala,Snack,Breakfast,side,veg,326,9.8,0,10.4,1.5,8,250,0,0,2 Balls,/static/foods/Aggala.jpg
Lavariya,Snack,Breakfast,side,veg,310,4,0,10,1.5,8,250,0,0,2 Pieces,/static/foods/Lavariya.jpg
Lavariya,Snack,Dinner,main,veg,310,4,0,10,1.5,8,250,0,0,2 Pieces,/static/foods/Lavariya.jpg
Yogurt,Diary,Breakfast,side,non_veg,90,5,0,3,0,10,60,0,0,1 cup,/static/foods/Yogurt.webp
Yogurt,Diary,Lunch,side,non_veg,90,5,0,3,0,10,60,0,0,1 cup,/static/foods/Yogurt.webp
Yogurt,Diary,Dinner,side,non_veg,90,5,0,3,0,10,60,0,0,1 cup,/static/foods/Yogurt.webp
Oats,Grain,Breakfast,main,veg,150,5,0,3,1,0.5,5,0,0,1 cup,/static/foods/Oats.jpg
Fried Tilapia,Protein/Fish,Dinner,side,non_veg,110,22,0,2.5,0,0,50,0,0,2 Fishes,/static/foods/Fried Tilapia.jpg
Fried Tilapia,Protein/Fish,Lunch,side,non_veg,110,22,0,2.5,0,0,50,0,0,2 Slices,/static/foods/Fried Tilapia.jpg
Salmon ,Fish,Dinner,protein,non_veg,208,20,0,13,0,0,70,0,0,2 Slices,/static/foods/Salmon.webp
Salmon ,Fish,Lunch,protein,non_veg,208,20,0,13,0,0,70,0,0,2 Slices,/static/foods/Salmon.webp
