canonical_symptom,alias
nausea,nausea
nausea,nauseous
nausea,queasy
nausea,feel sick
nausea,felt sick
nausea,upset stomach
dizziness,dizziness
dizziness,dizzy
dizziness,lightheaded
dizziness,felt dizzy
stomach pain,stomach pain
stomach pain,stomach ache
stomach pain,stomach discomfort
stomach pain,stomach hurts
stomach pain,pain in my stomach
drowsiness,drowsiness
drowsiness,drowsy
drowsiness,very sleepy
drowsiness,sleepy
drowsiness,extremely sleepy
weakness,weak
weakness,weakness
weakness,felt weak
weakness,very weak
discomfort,discomfort
discomfort,uncomfortable
discomfort,felt uncomfortable
discomfort,felt weird
discomfort,felt uneasy
