Drug_Ingredient,Food,label,Calories,Protein,Fat,Carbs,Herbal_Risk,Alcohol_Risk,Iron_Rich,High_Fat,High_Protein,Therapeutic_Class,Action_Class
Lepirudin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,Unknown,Unknown
Lepirudin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,Unknown,Unknown
Bivalirudin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Bivalirudin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Direct thrombin inhibitor- parentera
Alteplase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
Alteplase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
