generic_name,therapeutic_class,action_class,treatment_area,condition,source,confidence
metformin,ANTI DIABETIC,Biguanide,Endocrinology,Type 2 Diabetes,curated,0.95
metformin,ANTI DIABETIC,Biguanide,Endocrinology,Insulin Resistance,curated,0.95
metformin,ANTI DIABETIC,Biguanide,Endocrinology,PCOS,curated,0.95
glimepiride,ANTI DIABETI,,Endocrinology,Type 2 Diabetes,curated,0.95
insulin,,,Endocrinology,Diabetes Mellitus,curated,0.95
insulin,,,Endocrinology,Type 1 Diabetes,curated,0.95
insulin,,,Endocrinology,Type 2 Diabetes,curated,0.95
sitagliptin,ANTI DIABETIC,DPP-4 inhibitor,Endocrinology,Type 2 Diabetes,curated,0.95
vildagliptin,ANTI DIABETIC,DPP-4 inhibitor,Endocrinology,Type 2 Diabetes,curated,0.95
dapagliflozin,ANTI DIABETI,,Endocrinology,Type 2 Diabetes,curated,0.95
dapagliflozin,ANTI DIABETI,,Endocrinology,Heart Failure,curated,0.95
teneligliptin,ANTI DIABETIC,DPP-4 inhibitor,Endocrinology,Type 2 Diabetes,curated,0.95
gliclazide,ANTI DIABETI,,Endocrinology,Type 2 Diabetes,curated,0.95
pioglitazone,ANTI DIABETI,,Endocrinology,Type 2 Diabetes,curated,0.95
remogliflozin etabonate,ANTI DIABETI,,Endocrinology,Type 2 Diabetes,curated,0.95
imeglimin,ANTI DIABETI,,Endocrinology,Type 2 Diabetes,curated,0.95
atorvastatin,CARDIAC,HMG CoA inhibitors (statins,General Medicine,Hyperlipidemia,curated,0.95
atorvastatin,CARDIAC,HMG CoA inhibitors (statins,General Medicine,High Cholesterol,curated,0.95
atorvastatin,CARDIAC,HMG CoA inhibitors (statins,General Medicine,Cardiovascular Prevention,curated,0.95
rosuvastatin,CARDIAC,HMG CoA inhibitors (statins,General Medicine,Hyperlipidemia,curated,0.95
rosuvastatin,CARDIAC,HMG CoA inhibitors (statins,General Medicine,High Cholesterol,curated,0.95
simvastatin,CARDIAC,HMG CoA inhibitors (statins,General Medicine,Hyperlipidemia,curated,0.95
simvastatin,CARDIAC,HMG CoA inhibitors (statins,General Medicine,High Cholesterol,curated,0.95
amlodipine,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP,Cardiovascular,Hypertension,curated,0.95
amlodipine,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP,Cardiovascular,Angina,curated,0.95
telmisartan,CARDIA,,Cardiovascular,Hypertension,curated,0.95
losartan,CARDIAC,Angiotensin receptor blockers(ARB,Cardiovascular,Hypertension,curated,0.95
losartan,CARDIAC,Angiotensin receptor blockers(ARB,Cardiovascular,Diabetic Nephropathy,curated,0.95
lisinopril,CARDIAC,Angiotensin-converting enzyme (ACE) inhibitor,Cardiovascular,Hypertension,curated,0.95
lisinopril,CARDIAC,Angiotensin-converting enzyme (ACE) inhibitor,Cardiovascular,Heart Failure,curated,0.95
ramipril,CARDIAC,Angiotensin-converting enzyme (ACE) inhibitor,Cardiovascular,Hypertension,curated,0.95
ramipril,CARDIAC,Angiotensin-converting enzyme (ACE) inhibitor,Cardiovascular,Heart Failure,curated,0.95
ramipril,CARDIAC,Angiotensin-converting enzyme (ACE) inhibitor,Cardiovascular,Post-MI,curated,0.95
metoprolol,,,Cardiovascular,Hypertension,curated,0.95
metoprolol,,,Cardiovascular,Angina,curated,0.95
metoprolol,,,Cardiovascular,Heart Failure,curated,0.95
metoprolol,,,Cardiovascular,Arrhythmia,curated,0.95
atenolol,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Hypertension,curated,0.95
atenolol,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Angina,curated,0.95
propranolol,CARDIA,,Cardiovascular,Hypertension,curated,0.95
propranolol,CARDIA,,Cardiovascular,Migraine Prevention,curated,0.95
propranolol,CARDIA,,Cardiovascular,Anxiety,curated,0.95
digoxin,CARDIAC,Cardiac glycoside,Cardiovascular,Heart Failure,curated,0.95
digoxin,CARDIAC,Cardiac glycoside,Cardiovascular,Atrial Fibrillation,curated,0.95
amiodarone,CARDIAC,Class III Agents- anti arrhythmi,General Medicine,Arrhythmia,curated,0.95
amiodarone,CARDIAC,Class III Agents- anti arrhythmi,General Medicine,Atrial Fibrillation,curated,0.95
verapamil,CARDIAC,Calcium channel blockers- Nondihydropyridine,Cardiovascular,Hypertension,curated,0.95
verapamil,CARDIAC,Calcium channel blockers- Nondihydropyridine,Cardiovascular,Angina,curated,0.95
verapamil,CARDIAC,Calcium channel blockers- Nondihydropyridine,Cardiovascular,Arrhythmia,curated,0.95
diltiazem,CARDIAC,Calcium channel blockers- Nondihydropyridine,Cardiovascular,Hypertension,curated,0.95
diltiazem,CARDIAC,Calcium channel blockers- Nondihydropyridine,Cardiovascular,Angina,curated,0.95
nicorandil,CARDIAC,Potassium channel opene,General Medicine,Angina,curated,0.95
sacubitril,CARDIA,,Cardiovascular,Heart Failure,curated,0.95
azilsartan medoxomil,CARDIA,,Cardiovascular,Hypertension,curated,0.95
bisoprolol,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Hypertension,curated,0.95
bisoprolol,CARDIAC,Beta blocker- Cardioselectiv,Cardiovascular,Heart Failure,curated,0.95
cilostazol,CARDIAC,Phosphodiesterase III Inhibiotrs (PVD,General Medicine,Peripheral Vascular Disease,curated,0.95
cilostazol,CARDIAC,Phosphodiesterase III Inhibiotrs (PVD,General Medicine,Intermittent Claudication,curated,0.95
ezetimibe,CARDIAC,Intestinal sterol absorption inhibitor,General Medicine,Hyperlipidemia,curated,0.95
torasemide,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport,Cardiovascular,Edema,curated,0.95
torasemide,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport,Cardiovascular,Heart Failure,curated,0.95
azelnidipine,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP,Cardiovascular,Hypertension,curated,0.95
selexipag,CARDIA,,Cardiovascular,Pulmonary Arterial Hypertension,curated,0.95
paracetamol,PAIN ANALGESIC,,Pain Management,Pain,curated,0.95
paracetamol,PAIN ANALGESIC,,Pain Management,Fever,curated,0.95
acetaminophen,,,Pain Management,Pain,curated,0.95
acetaminophen,,,Pain Management,Fever,curated,0.95
ibuprofen,PAIN ANALGESIC,,Pain Management,Pain,curated,0.95
ibuprofen,PAIN ANALGESIC,,Pain Management,Inflammation,curated,0.95
ibuprofen,PAIN ANALGESIC,,Pain Management,Fever,curated,0.95
diclofenac,PAIN ANALGESICS,NSAID,Pain Management,Pain,curated,0.95
diclofenac,PAIN ANALGESICS,NSAID,Pain Management,Inflammation,curated,0.95
diclofenac,PAIN ANALGESICS,NSAID,Pain Management,Arthritis,curated,0.95
aceclofenac,PAIN ANALGESIC,,Pain Management,Pain,curated,0.95
aceclofenac,PAIN ANALGESIC,,Pain Management,Osteoarthritis,curated,0.95
aceclofenac,PAIN ANALGESIC,,Pain Management,Rheumatoid Arthritis,curated,0.95
naproxen,PAIN ANALGESIC,,Pain Management,Pain,curated,0.95
naproxen,PAIN ANALGESIC,,Pain Management,Inflammation,curated,0.95
naproxen,PAIN ANALGESIC,,Pain Management,Migraine,curated,0.95
nimesulide,RESPIRATOR,,Pain Management,Pain,curated,0.95
nimesulide,RESPIRATOR,,Pain Management,Inflammation,curated,0.95
celecoxib,PAIN ANALGESICS,NSAID,Rheumatology,Osteoarthritis,curated,0.95
celecoxib,PAIN ANALGESICS,NSAID,Rheumatology,Rheumatoid Arthritis,curated,0.95
etoricoxib,PAIN ANALGESIC,,Rheumatology,Osteoarthritis,curated,0.95
etoricoxib,PAIN ANALGESIC,,Rheumatology,Rheumatoid Arthritis,curated,0.95
etoricoxib,PAIN ANALGESIC,,Rheumatology,Gout,curated,0.95
tramadol,PAIN ANALGESIC,,Pain Management,Moderate-to-Severe Pain,curated,0.95
morphine,PAIN ANALGESICS,Opioid,Pain Management,Severe Pain,curated,0.95
buprenorphine,NEURO CNS,Opioids- Partial agonis,Pain Management,Chronic Pain,curated,0.95
buprenorphine,NEURO CNS,Opioids- Partial agonis,Pain Management,Opioid Dependence,curated,0.95
colchicine,PAIN ANALGESICS,Anti-Inflammatory- gou,General Medicine,Gout,curated,0.95
allopurinol,PAIN ANALGESIC,,General Medicine,Gout,curated,0.95
allopurinol,PAIN ANALGESIC,,General Medicine,Hyperuricemia,curated,0.95
febuxostat,PAIN ANALGESICS,Xanthine oxidase Inhibitors-gou,General Medicine,Gout,curated,0.95
febuxostat,PAIN ANALGESICS,Xanthine oxidase Inhibitors-gou,General Medicine,Hyperuricemia,curated,0.95
mefenamic acid,PAIN ANALGESIC,,Pain Management,Pain,curated,0.95
mefenamic acid,PAIN ANALGESIC,,Pain Management,Dysmenorrhea,curated,0.95
iguratimod,PAIN ANALGESICS,Disease Modifying Anti-Rheumatoid Drugs (DMARDs)- Non biologic,Rheumatology,Rheumatoid Arthritis,curated,0.95
thiocolchicoside,PAIN ANALGESIC,,Pain Management,Muscle Spasm,curated,0.95
thiocolchicoside,PAIN ANALGESIC,,Pain Management,Back Pain,curated,0.95
chlorzoxazone,PAIN ANALGESIC,,General Medicine,Muscle Spasm,curated,0.95
amoxycillin,ANTI INFECTIVE,,Infectious Disease,Bacterial Infection,curated,0.95
amoxycillin,ANTI INFECTIVE,,Infectious Disease,Upper Respiratory Infection,curated,0.95
amoxycillin,ANTI INFECTIVE,,Infectious Disease,UTI,curated,0.95
azithromycin,ANTI INFECTIVES,Macrolide,Infectious Disease,Bacterial Infection,curated,0.95
azithromycin,ANTI INFECTIVES,Macrolide,Infectious Disease,Respiratory Infection,curated,0.95
azithromycin,ANTI INFECTIVES,Macrolide,Infectious Disease,STI,curated,0.95
ciprofloxacin,GASTRO INTESTINA,,Infectious Disease,UTI,curated,0.95
ciprofloxacin,GASTRO INTESTINA,,Infectious Disease,Bacterial Infection,curated,0.95
ciprofloxacin,GASTRO INTESTINA,,Infectious Disease,Respiratory Infection,curated,0.95
ofloxacin,ANTI INFECTIVES,Quinolones/ Fluroquinolone,Infectious Disease,UTI,curated,0.95
ofloxacin,ANTI INFECTIVES,Quinolones/ Fluroquinolone,Infectious Disease,Bacterial Infection,curated,0.95
ofloxacin,ANTI INFECTIVES,Quinolones/ Fluroquinolone,Infectious Disease,Eye Infection,curated,0.95
cefixime,ANTI INFECTIVE,,Infectious Disease,Bacterial Infection,curated,0.95
cefixime,ANTI INFECTIVE,,Infectious Disease,UTI,curated,0.95
cefixime,ANTI INFECTIVE,,Infectious Disease,Respiratory Infection,curated,0.95
cefuroxime,ANTI INFECTIVE,,Infectious Disease,Bacterial Infection,curated,0.95
cefuroxime,ANTI INFECTIVE,,Infectious Disease,Sinusitis,curated,0.95
cefuroxime,ANTI INFECTIVE,,Infectious Disease,UTI,curated,0.95
cefpodoxime proxetil,ANTI INFECTIVES,Cephalosporins   3 generatio,Infectious Disease,Bacterial Infection,curated,0.95
cefpodoxime proxetil,ANTI INFECTIVES,Cephalosporins   3 generatio,Infectious Disease,Respiratory Infection,curated,0.95
ceftriaxone,ANTI INFECTIVE,,Infectious Disease,Severe Bacterial Infection,curated,0.95
ceftriaxone,ANTI INFECTIVE,,Infectious Disease,Meningitis,curated,0.95
cefoperazone,ANTI INFECTIVE,,Infectious Disease,Severe Bacterial Infection,curated,0.95
ceftazidime,ANTI INFECTIVE,,Infectious Disease,Severe Bacterial Infection,curated,0.95
ceftazidime,ANTI INFECTIVE,,Infectious Disease,Hospital-Acquired Infection,curated,0.95
levofloxacin,OPHTHAL,Quinolones/ Fluroquinolone,Infectious Disease,Bacterial Infection,curated,0.95
levofloxacin,OPHTHAL,Quinolones/ Fluroquinolone,Infectious Disease,Pneumonia,curated,0.95
levofloxacin,OPHTHAL,Quinolones/ Fluroquinolone,Infectious Disease,UTI,curated,0.95
clarithromycin,ANTI INFECTIVES,Macrolide,Infectious Disease,H. Pylori Infection,curated,0.95
clarithromycin,ANTI INFECTIVES,Macrolide,Infectious Disease,Respiratory Infection,curated,0.95
metronidazole,DERM,,Infectious Disease,Anaerobic Infection,curated,0.95
metronidazole,DERM,,Infectious Disease,Amoebiasis,curated,0.95
metronidazole,DERM,,Infectious Disease,H. Pylori,curated,0.95
linezolid,ANTI INFECTIVES,Oxazolidinon,Infectious Disease,MRSA Infection,curated,0.95
linezolid,ANTI INFECTIVES,Oxazolidinon,Infectious Disease,Severe Bacterial Infection,curated,0.95
meropenem,ANTI INFECTIVES,Cell wall active agent -Carbapenem,Infectious Disease,Severe Bacterial Infection,curated,0.95
meropenem,ANTI INFECTIVES,Cell wall active agent -Carbapenem,Infectious Disease,Sepsis,curated,0.95
piperacillin,ANTI INFECTIVE,,Infectious Disease,Severe Bacterial Infection,curated,0.95
piperacillin,ANTI INFECTIVE,,Infectious Disease,Hospital-Acquired Infection,curated,0.95
rifaximin,GASTRO INTESTINAL,RNA polymerase inhibitors- Rifamycin,General Medicine,Hepatic Encephalopathy,curated,0.95
rifaximin,GASTRO INTESTINAL,RNA polymerase inhibitors- Rifamycin,General Medicine,Traveler's Diarrhea,curated,0.95
rifaximin,GASTRO INTESTINAL,RNA polymerase inhibitors- Rifamycin,General Medicine,IBS,curated,0.95
albendazole,ANTI INFECTIVES,Antiprotozoal agent,Infectious Disease,Helminth Infection,curated,0.95
albendazole,ANTI INFECTIVES,Antiprotozoal agent,Infectious Disease,Worm Infestation,curated,0.95
fluconazole,ANTI INFECTIVES,Fungal ergosterol synthesis inhibito,Infectious Disease,Fungal Infection,curated,0.95
