field,type,allowed_values,default_value,description
age,int,0-120,30,patient age in years
sex,enum,male|female,unknown,biological sex
pregnant,bool,0|1,0,1 if patient is pregnant
breastfeeding,bool,0|1,0,1 if patient is breastfeeding
diabetes,bool,0|1,0,diagnosed diabetes mellitus
hypertension,bool,0|1,0,diagnosed high blood pressure
asthma,bool,0|1,0,history of asthma
kidney_disease,bool,0|1,0,chronic kidney disease
liver_disease,bool,0|1,0,chronic liver disease
heart_failure,bool,0|1,0,history of heart failure
arrhythmia,bool,0|1,0,history of cardiac arrhythmia
peptic_ulcer,bool,0|1,0,history of peptic ulcer disease
allergy_penicillin,bool,0|1,0,known allergy to penicillin
glaucoma,bool,0|1,0,diagnosed glaucoma
thyroid_disorder,bool,0|1,0,thyroid dysfunction
bleeding_disorder,bool,0|1,0,bleeding tendency or coagulopathy
renal_impairment,bool,0|1,0,reduced kidney function
