drug1_id,drug2_id,prr_mean,prr_max,prr_min,prr_std,prr_count,report_freq_mean,has_interaction,severity,drug1_encoded,drug2_encoded,severity_encoded
100213,8591,7.343092508771929,20.0,0.833333,4.811632706923641,57,0.05533065964912281,1,high,0,1082,3
100278,2002,8.654194897959183,20.0,1.11111,5.844777936413667,49,0.06659505714285714,1,high,1,293,3
100278,253337,8.45,20.0,2.0,5.230519413340642,10,0.10909088,1,high,1,392,3
100278,39993,8.0855175,40.0,0.454545,9.010371642353492,102,0.0268864931372549,1,high,1,638,3
100278,4460,7.126926,25.0,0.625,5.519106178499961,84,0.03790729047619047,1,high,1,700,3
1009,36676,9.319358260869565,20.0,1.25,5.284525418786141,23,0.08152173913043478,1,high,2,603,3
1012892,11416,8.503086296296296,20.0,1.25,3.621847698267736,27,0.12222222222222223,1,high,4,96,3
1012892,591622,6.106942758620689,20.0,0.277778,4.180328850806441,116,0.03377612413793103,1,high,4,799,3
1012892,6468,7.951443472222222,30.0,1.0,5.440540347853342,72,0.08055555555555555,1,high,4,865,3
1012892,725,11.030577941176471,40.0,1.42857,10.478091705489467,34,0.1352940970588235,1,high,4,964,3
1012892,8727,7.416619841269841,30.0,1.0,5.2843743118317,63,0.052910014285714284,1,high,4,1096,3
10154,3648,9.053638285714285,40.0,0.769231,10.645694400761439,21,0.0769230619047619,1,high,5,600,3
10154,435,10.158792223880598,50.0,0.454545,11.254114609362555,134,0.043823462686567165,1,high,5,690,3
10154,7895,28.083333,60.0,3.33333,21.358384159128004,10,0.38,1,high,5,1027,3
10156,318341,7.0312018181818186,40.0,1.25,6.863785908978342,44,0.04242421363636364,1,high,6,500,3
10156,32915,7.785241039370079,120.0,0.454545,9.791556187309407,254,0.02693977834645669,1,high,6,524,3
10156,42319,7.875691811475409,30.0,0.909091,4.759830244422831,122,0.04947308114754098,1,high,6,669,3
10156,623033,7.600163620689655,30.0,1.11111,5.107914683953699,58,0.0706896551724138,1,high,6,845,3
10156,7396,8.148147777777778,20.0,3.33333,4.037766986435413,18,0.08796295,1,high,6,985,3
10167,2191,7.265239392857143,30.0,0.4,5.7642036196093995,56,0.034256575,1,high,7,331,3
10167,221166,8.645833055555556,20.0,1.25,5.057580427610374,36,0.08531747222222222,1,high,7,336,3
10167,32863,8.276942105263158,20.0,1.42857,4.201549049458596,19,0.09716597368421052,1,high,7,521,3
10167,4110,9.166467131578948,40.0,0.909091,7.27051329906171,38,0.06698561315789474,1,high,7,656,3
10180,10594,7.369345148148149,30.0,0.625,4.843501567550435,81,0.04205246913580247,1,high,8,39,3
10180,1889,13.8083335,50.0,2.0,12.468471834664157,20,0.154545355,1,high,8,261,3
10180,194279,7.692198387096774,20.0,1.11111,5.208878093511818,31,0.06451615161290324,1,high,8,277,3
10180,275635,7.93793764367816,70.0,0.344828,7.349347509368232,261,0.027994882375478924,1,high,8,432,3
10180,3098,8.562680458333334,30.0,0.909091,6.886605481093796,24,0.05871209166666667,1,high,8,485,3
10180,356887,7.479470895833334,40.0,0.47619,6.465776720768364,96,0.031032972916666665,1,high,8,575,3
10180,39998,8.268240551724137,170.0,0.243902,13.993014850588462,203,0.026525178325123154,1,high,8,639,3
10180,4501,11.17361075,40.0,1.66667,6.480178852250652,120,0.11499997249999999,1,high,8,708,3
10180,48937,12.956140263157895,80.0,1.66667,15.821863326011973,38,0.08448753157894737,1,high,8,735,3
10240,2002,9.226190357142857,40.0,1.66667,7.146787645358957,28,0.11363633214285715,1,high,10,293,3
103,2358,10.79,40.0,1.0,8.18291529475222,50,0.09647059000000001,1,high,11,361,3
10324,28908,9.767147275000001,30.0,0.769231,8.079450177695934,40,0.05625002,1,high,12,458,3
10324,8640,11.142758768328445,110.0,0.555556,12.179836058562607,682,0.022732478592375368,1,high,12,1089,3
10355,10432,13.891151834890966,110.0,0.714286,13.281389395831011,321,0.04479245140186916,1,high,14,25,3
10355,135391,7.750654019607843,30.0,1.42857,4.856205518433083,102,0.056561092156862745,1,high,14,162,3
10355,136411,7.359884496519721,50.0,0.434783,7.066376872016496,862,0.016509015452436195,1,high,14,171,3
10368,135056,6.480392352941176,10.0,1.66667,2.981355591709771,17,0.05882351764705883,1,high,15,160,3
10368,15996,7.031040402985075,30.0,0.714286,5.683400838046367,67,0.04025326119402985,1,high,15,223,3
10368,3355,7.23917302739726,30.0,0.555556,5.679398076858648,73,0.03493150684931507,1,high,15,530,3
10368,596,7.183143376,50.0,0.25,7.601743075579195,125,0.028281676000000002,1,high,15,804,3
10368,8727,10.611111333333334,20.0,2.5,5.423225404044122,15,0.13333326,1,high,15,1096,3
1037042,2356,7.990165652173913,30.0,1.25,5.906290124522735,23,0.09510869565217392,1,high,16,360,3
1037042,25789,6.59325062295082,210.0,0.114943,15.994545789565054,305,0.010541895344262295,1,high,16,403,3
10379,1895,6.315866527372263,60.0,0.344828,6.434389514336354,548,0.010523115437956206,1,high,17,263,3
10379,596,4.5757651109350235,50.0,0.243902,5.160151863595694,631,0.007446876228209192,1,medium,17,804,2
10379,6468,4.92251791959799,30.0,0.47619,4.543341297725152,199,0.01977631457286432,1,medium,17,865,2
10379,7244,8.572485655555557,140.0,0.30303,15.953938979370985,90,0.02950193555555556,1,high,17,963,3
10390,1347,28.666666,110.0,3.33333,40.76278910725407,10,0.22142856000000002,1,high,18,158,3
1040028,10737,6.1607309852941174,30.0,0.384615,5.011184979905933,136,0.029287172794117647,1,high,21,48,3
10402,8787,7.526097704918032,30.0,1.0,4.65205920731325,61,0.06088988688524591,1,high,22,1104,3
104129,8787,13.15104125,100.0,1.25,23.399197283141397,16,0.10416671875,1,high,23,1104,3
1043,21949,7.529239473684211,20.0,2.22222,4.254118490784971,19,0.1368421052631579,1,high,24,334,3
1044977,3264,6.264410526315789,12.0,1.0,4.013448618675677,19,0.06842105263157895,1,high,28,516,3
10454,3638,7.11888905479452,20.0,0.909091,4.687584935299892,73,0.07914766301369863,1,high,29,593,3
10454,5781,6.912114705882352,10.0,1.25,3.474082355779843,34,0.0661764705882353,1,high,29,791,3
10473,62427,11.772727272727273,30.0,3.33333,6.716784995323413,22,0.09943181818181818,1,high,31,848,3
10502,2626,8.581894051020408,60.0,0.625,8.545177124255963,98,0.036281153061224494,1,high,32,415,3
105694,711942,7.184047666666667,20.0,0.909091,5.91247815955338,33,0.05244755454545454,1,high,35,944,3
10572,2002,8.327477438356164,20.0,0.833333,5.262290675078268,73,0.06164383561643835,1,high,36,293,3
10572,221166,7.7866664000000005,20.0,2.0,3.9812991868001664,25,0.11200000000000002,1,high,36,336,3
10572,2356,6.912280263157895,20.0,2.0,4.287130645710066,38,0.08223684210526316,1,high,36,360,3
10572,342369,5.673363470588235,40.0,0.4,5.124400219437334,187,0.023323252941176473,1,high,36,553,3
10572,5553,6.566837675,20.0,0.833333,4.4990075416447315,80,0.053500000000000006,1,high,36,776,3
10582,1242999,5.953211526717557,100.0,0.222222,8.214320028308768,262,0.013252760572519085,1,high,37,130,3
10582,237159,5.675346712053572,80.0,0.27027,6.502078896834125,896,0.006645953816964286,1,high,37,367,3
10582,42463,3.7327445667920975,30.0,0.131579,4.064310082332009,2126,0.0022190215682031983,1,medium,37,676,2
10582,42627,7.4336038250000005,30.0,0.434783,6.57560852888512,80,0.03749997875,1,high,37,679,3
10600,18867,6.198519038709677,30.0,0.512821,5.735552145679556,155,0.026814516129032257,1,high,41,259,3
10600,3500,8.521271639344262,20.0,2.0,5.379256293922107,61,0.08469944918032786,1,high,41,563,3
10600,6146,8.484848181818181,10.0,3.33333,2.630436342802533,11,0.1,1,high,41,835,3
10600,77655,10.952759972093023,50.0,0.714286,8.998325121833103,215,0.04329809069767442,1,high,41,1012,3
10600,8514,8.819375862068965,30.0,1.42857,6.110725791632703,29,0.08045975172413793,1,high,41,1074,3
10600,897018,9.724358846153846,40.0,1.0,8.911284166670178,26,0.13141035384615385,1,high,41,1112,3
10627,3639,9.32470494117647,50.0,1.25,8.474745399759895,85,0.056108607058823534,1,high,42,595,3
10627,41493,9.216711106666667,70.0,0.5,12.75635305012138,75,0.05215687866666666,1,high,42,664,3
10627,43611,9.294238888888888,20.0,1.11111,5.418519443925146,27,0.06349203333333334,1,high,42,691,3
10627,8638,6.320644127962086,35.0,0.5,5.447827139218077,211,0.018068736018957345,1,high,42,1088,3
10636,5640,7.569444166666667,10.0,2.5,3.0866761908901834,12,0.0909091,1,high,43,779,3
10689,117055,8.536110666666668,40.0,1.25,7.654841371243625,30,0.056060573333333336,1,high,44,114,3
10689,1244014,4.804789977011494,30.0,0.357143,4.5135697146753815,609,0.007912425320197045,1,medium,44,132,2
10689,1546356,6.8020988043478265,50.0,0.769231,7.766259890418246,46,0.04658386304347826,1,high,44,216,3
10689,1767,7.585132435483871,40.0,0.769231,6.971902112145337,62,0.053970229032258066,1,high,44,244,3
10689,194881,6.431481243243243,30.0,0.588235,4.812526267726549,74,0.02912910675675676,1,high,44,281,3
10689,2418,5.419224201365188,40.0,0.238095,5.749521237301248,586,0.0072365614334471,1,high,44,373,3
10689,28439,4.735259825797873,100.0,0.175439,6.801005630102631,752,0.006287854627659575,1,medium,44,451,2
10689,321952,8.879463329787233,30.0,0.833333,4.714220701882655,94,0.06475488510638298,1,high,44,505,3
10689,4511,3.925075934558494,50.0,0.102041,4.77477507385748,2231,0.002005424048857015,1,medium,44,711,2
10689,588250,5.657585129909365,120.0,0.322581,7.802083144537567,331,0.01577508755287009,1,high,44,797,3
10689,618442,14.714287083333332,60.0,2.0,12.246064389335539,24,0.13888891666666667,1,high,44,838,3
10689,684879,6.352394426605505,30.0,0.4,5.055909820194217,218,0.019999982110091744,1,high,44,908,3
10689,9344,5.447166141193596,120.0,0.116279,7.768080737968596,687,0.009531751892285297,1,high,44,1120,3
10691,7824,10.056878000000001,40.0,1.11111,8.750936068208066,30,0.08518520666666667,1,high,45,1020,3
107044,77492,7.456708484848485,20.0,1.42857,4.554622544561954,33,0.10173160606060605,1,high,46,1011,3
10737,38400,6.474588577142857,90.0,0.227273,7.441536615709468,350,0.01371735622857143,1,high,48,620,3
10753,10438,7.312186215686275,44.0,0.526316,7.3766532703709835,51,0.04761902745098039,1,high,49,26,3
10759,68149,8.429533652173914,60.0,0.416667,8.264997925257704,184,0.034611000543478265,1,high,50,901,3
10763,11124,9.993328695652174,50.0,1.0,9.427467201971576,69,0.06577481594202898,1,high,51,77,3
10763,139778,7.671052368421053,40.0,1.66667,6.742974143939364,38,0.09210527894736842,1,high,51,183,3
10763,47613,7.2179021,30.0,0.555556,5.19963675450989,90,0.043055555555555555,1,high,51,724,3
10763,60548,6.729230481632653,60.0,0.384615,7.780345014395478,245,0.022628571428571432,1,high,51,821,3
10763,72965,7.84212929906542,30.0,0.833333,5.218710153467764,107,0.051563000000000005,1,high,51,970,3
10767,2599,11.217547081300815,40.0,0.909091,7.904238271775689,123,0.08333334715447155,1,high,52,409,3
108074,7646,7.509211069767442,50.0,0.526316,7.842569177082437,43,0.03756706279069767,1,high,56,1006,3
108118,119565,6.523689200626959,50.0,0.294118,6.532137006296671,319,0.017972836394984325,1,high,57,117,3
108118,149,6.683333,10.0,2.0,3.206764051845969,20,0.095454545,1,high,57,207,3
108118,1599832,9.063491818181818,20.0,1.42857,5.613643591900926,33,0.07424242424242425,1,high,57,224,3
108118,228476,10.681875373134329,30.0,1.25,6.5680913767781695,134,0.06268655149253732,1,high,57,344,3
108118,29421,7.860741860465117,20.0,1.42857,3.7749036167016152,43,0.09481215116279071,1,high,57,462,3
108118,32937,7.62390511728395,70.0,0.30303,7.712381439191375,648,0.014283498765432098,1,high,57,525,3
108118,52582,5.428992592814371,30.0,0.454545,5.06252433712655,167,0.01860795988023952,1,high,57,758,3
108118,6185,9.022188774647889,50.0,0.833333,8.6919859435481,71,0.07103493380281689,1,high,57,839,3
10814,1895,5.841190854545454,40.0,0.333333,5.30921725583389,165,0.025589238787878787,1,high,58,263,3
10825,32937,7.543329450000001,35.0,0.322581,6.598043315745823,140,0.024517359285714285,1,high,60,525,3
10825,719872,21.0,60.0,5.0,22.472205054244235,5,0.22000000000000003,1,high,60,949,3
10826,358258,9.090909090909092,20.0,3.33333,4.432433515427963,11,0.11818181818181818,1,high,61,581,3
10826,56946,12.5,30.0,1.66667,8.333333272727394,12,0.10897431666666667,1,high,61,786,3
10826,593411,6.571198818181818,30.0,0.909091,5.997780413448105,33,0.048484848484848485,1,high,61,801,3
10826,8591,5.579280876106195,46.6667,0.169492,6.306529167424215,226,0.015908945663716815,1,high,61,1082,3
10829,113608,9.455516192307693,110.0,0.833333,14.077687033146827,78,0.050589020512820514,1,high,62,94,3
10829,60212,7.853630675675676,40.0,0.645161,7.769974776884984,74,0.02833476621621622,1,high,62,815,3
10829,69634,6.6714285,20.0,1.42857,4.3464276039455365,20,0.06052630999999999,1,high,62,926,3
10829,732,7.998381219554031,230.0,0.15873,14.762261099534046,583,0.008324470308747856,1,high,62,977,3
10829,8727,8.0938094,30.0,2.0,5.268920612423581,50,0.09599994199999999,1,high,62,1096,3
10834,4495,34.779629666666665,70.0,3.33333,22.83272728270971,30,0.19861118333333336,1,high,63,706,3
1085787,1895,6.545776333333333,20.0,0.769231,4.376092699453186,54,0.052469161111111114,1,high,64,263,3
1085787,28908,7.905557232323233,50.0,0.714286,7.479274032499687,99,0.03524608888888889,1,high,64,458,3
1085787,8356,9.375000833333333,20.0,2.5,4.621056344866021,12,0.16666666666666666,1,high,64,1064,3
1086769,1373478,9.266864722222222,40.0,1.66667,7.22239720659738,36,0.09814811666666666,1,high,65,179,3
1091836,7806,5.470316585000001,60.0,0.357143,5.89182365290998,200,0.021043479,1,high,67,1016,3
